Date,IBIT,FBTC,BITB,ARKB,BTCO,EZBC,BRRR,HODL,BTCW,MSBT,GBTC,BTC,Total,Total_MA5
2025-09-09,169.3,-55.8,-18.2,-72.3,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,23.0,60.96
2025-09-10,211.2,299.0,44.4,145.1,0.0,3.3,0.0,12.0,0.0,,8.9,17.6,741.5,149.16
2025-09-11,366.2,134.7,40.4,0.0,5.7,3.3,0.0,2.4,0.0,,0.0,0.0,552.7,304.28
2025-09-12,264.7,315.2,29.2,19.4,0.0,0.0,0.0,8.2,0.0,,0.0,5.7,642.4,464.78
2025-09-15,261.8,7.5,-18.8,0.0,0.0,3.3,0.0,0.0,0.0,,0.0,6.1,259.9,443.9
2025-09-16,209.2,45.8,-10.8,40.7,0.0,0.0,0.0,7.4,0.0,,0.0,0.0,292.3,497.76
2025-09-17,149.7,-116.0,-12.6,-32.3,0.0,0.0,0.0,0.0,0.0,,-62.6,22.5,-51.3,339.2
2025-09-18,0.0,97.4,12.8,25.0,3.5,6.8,0.0,6.6,0.0,,0.0,10.9,163.0,261.26
2025-09-19,246.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-23.5,0.0,222.6,177.3
2025-09-22,0.0,-276.7,0.0,-52.3,0.0,0.0,0.0,-9.5,0.0,,-24.6,0.0,-363.1,52.7
2025-09-23,2.5,-75.6,-12.8,-27.9,10.0,0.0,0.0,0.0,0.0,,0.0,0.0,-103.8,-26.52
2025-09-24,128.9,29.7,24.7,37.7,0.0,0.0,0.0,6.4,0.0,,0.0,13.6,241.0,31.94
2025-09-25,79.7,-114.8,-80.5,-63.0,0.0,-6.3,0.0,-10.1,0.0,,-42.9,-15.5,-253.4,-51.34
2025-09-26,-37.3,-300.4,-23.8,-17.8,0.0,0.0,0.0,-9.3,0.0,,-17.1,-12.6,-418.3,-179.52
2025-09-29,-46.6,298.7,47.2,62.2,35.3,16.5,0.0,30.7,0.0,,26.9,47.1,518.0,-3.3
2025-09-30,199.4,54.7,70.1,105.7,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,429.9,103.44
2025-10-01,405.5,179.3,59.4,5.9,0.0,0.0,0.0,6.6,0.0,,9.2,9.9,675.8,190.4
2025-10-02,466.5,89.6,11.2,45.2,0.0,0.0,0.0,1.7,0.0,,2.8,10.2,627.2,366.52
2025-10-03,791.6,69.6,24.0,35.5,0.0,0.0,0.0,26.0,0.0,,18.3,20.1,985.1,647.2
2025-10-06,970.0,112.3,60.1,0.0,7.5,3.6,0.0,15.1,6.0,,0.0,30.6,1205.2,784.64
2025-10-07,899.4,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,,-28.6,0.0,875.6,873.78
2025-10-08,426.2,0.0,13.4,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.1,440.7,826.76
