Date,IBIT,FBTC,BITB,ARKB,BTCO,EZBC,BRRR,HODL,BTCW,MSBT,GBTC,BTC,Total,Total_MA5
2025-10-09,255.5,-13.2,6.6,-5.6,0.0,0.0,0.0,0.0,0.0,,-45.5,0.0,197.8,740.88
2025-10-10,74.2,-10.2,-37.4,-6.2,0.0,0.0,0.0,0.0,0.0,,-19.2,-5.7,-4.5,542.96
2025-10-13,60.4,-93.3,-115.6,-21.1,0.0,0.0,0.0,-11.4,0.0,,-145.4,0.0,-326.4,236.64
2025-10-14,-30.8,132.7,8.0,6.8,0.0,0.0,-14.0,0.0,0.0,,0.0,0.0,102.7,82.06
2025-10-15,-10.1,0.0,0.0,0.0,-11.1,0.0,0.0,0.0,0.0,,-82.9,0.0,-104.1,-26.9
2025-10-16,-29.5,-132.0,-20.6,-275.2,0.0,0.0,0.0,-6.1,0.0,,-45.0,-22.5,-530.9,-172.64
2025-10-17,-268.6,-67.4,0.0,0.0,0.0,0.0,-5.6,0.0,0.0,,-25.0,0.0,-366.6,-245.06
2025-10-20,-100.7,9.7,12.1,0.0,9.9,0.0,0.0,21.2,0.0,,0.0,7.4,-40.4,-187.86
2025-10-21,210.9,34.1,20.1,162.9,8.9,6.5,2.5,17.4,0.0,,0.0,13.9,477.2,-112.96
2025-10-22,73.6,-56.6,-10.0,-53.9,0.0,0.0,2.1,0.0,0.0,,-56.6,0.0,-101.4,-112.42
2025-10-23,107.8,7.2,17.4,-55.0,0.0,0.0,0.0,0.0,0.0,,-60.5,3.4,20.3,-2.18
2025-10-24,32.7,57.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,90.6,89.26
2025-10-27,65.3,0.0,0.0,76.4,0.0,0.0,0.0,0.0,0.0,,0.0,7.6,149.3,127.2
2025-10-28,59.6,67.0,0.0,75.8,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,202.4,72.24
2025-10-29,-88.1,-164.4,-6.0,-143.8,0.0,0.0,0.0,0.0,0.0,,-65.0,-3.4,-470.7,-1.62
2025-10-30,-290.9,-46.5,-55.1,-65.6,-8.0,0.0,0.0,-3.8,0.0,,-10.0,-8.5,-488.4,-103.36
2025-10-31,-149.3,-12.0,-17.9,-19.3,0.0,0.0,0.0,0.0,0.0,,6.9,0.0,-191.6,-159.8
2025-11-03,-186.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-186.5,-226.96
2025-11-04,0.0,-356.6,-7.1,-128.1,0.0,-8.7,0.0,-17.0,0.0,,-48.9,0.0,-566.4,-380.72
2025-11-05,-375.5,113.3,17.0,82.9,0.0,0.0,0.0,3.7,0.0,,0.0,21.6,-137.0,-313.98
2025-11-06,112.4,61.6,5.5,60.4,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,239.9,-168.32
2025-11-07,-131.4,-256.7,-10.7,-144.2,0.0,0.0,0.0,0.0,0.0,,-15.4,0.0,-558.4,-241.68
2025-11-10,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.2,-204.14
2025-11-11,224.2,165.9,7.3,102.5,0.0,0.0,0.0,0.0,0.0,,0.0,24.1,524.0,13.94
2025-11-12,-36.9,-132.9,0.0,-85.2,0.0,0.0,0.0,0.0,0.0,,-23.1,0.0,-278.1,-14.28
2025-11-13,-256.6,-119.9,-47.0,-15.7,-30.8,-5.7,0.0,-8.3,0.0,,-64.5,-318.2,-866.7,-235.6
2025-11-14,-463.1,-2.1,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,,-25.1,4.2,-492.1,-222.34
2025-11-17,-145.6,-12.0,-9.5,-29.7,0.0,0.0,0.0,-23.3,0.0,,-34.5,0.0,-254.6,-273.5
2025-11-18,-523.2,0.0,0.0,0.0,0.0,10.8,0.0,0.0,0.0,,0.0,139.6,-372.8,-452.86
2025-11-19,60.6,-21.4,0.0,0.0,0.0,0.0,0.0,-17.6,0.0,,0.0,53.8,75.4,-382.16
2025-11-20,-355.5,-190.4,-21.2,-94.4,0.0,-7.5,0.0,-30.6,0.0,,-199.4,-4.2,-903.2,-389.46
2025-11-21,-122.0,108.0,22.8,39.1,35.8,0.0,0.0,8.3,0.0,,61.5,84.9,238.4,-243.36
2025-11-24,-149.1,15.5,-5.8,-11.6,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-151.0,-222.64
2025-11-25,83.0,170.8,-12.3,-75.9,0.0,0.0,0.0,-36.9,0.0,,0.0,0.0,128.7,-122.34
2025-11-26,42.8,-33.3,0.0,6.0,0.0,0.0,0.0,0.0,0.0,,5.6,0.0,21.1,-133.2
2025-11-28,-113.7,77.5,0.0,88.0,0.0,0.0,0.0,0.0,0.0,,10.7,8.9,71.4,61.72
2025-12-01,-65.9,67.0,0.0,7.4,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,8.5,15.74
2025-12-02,120.1,21.9,7.4,-90.9,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,58.5,57.64
2025-12-03,42.2,0.0,0.0,-37.1,0.0,0.0,0.0,0.0,0.0,,-19.6,-0.4,-14.9,28.92
2025-12-04,-113.0,-54.2,-3.0,0.0,0.0,0.0,0.0,-14.3,0.0,,-10.1,0.0,-194.6,-14.22
2025-12-05,-32.5,27.3,4.9,42.8,0.0,0.0,0.0,11.4,0.9,,0.0,0.0,54.8,-17.54
2025-12-08,28.8,-39.4,0.0,0.0,0.0,0.0,0.0,-5.8,0.0,,-44.0,0.0,-60.4,-31.32
2025-12-09,-135.4,198.9,16.2,5.3,6.5,8.1,0.0,0.0,1.0,,17.5,33.8,151.9,-12.64
2025-12-10,192.9,30.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,223.5,35.04
2025-12-11,76.7,-103.6,8.4,-16.4,0.0,0.0,0.0,-19.4,0.0,,-12.2,-11.0,-77.5,58.46
2025-12-12,51.1,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,49.1,57.32
2025-12-15,0.0,-230.1,-44.3,-34.5,0.0,0.0,0.0,-21.2,0.0,,-27.5,0.0,-357.6,-2.12
2025-12-16,-210.7,26.7,-50.9,-16.9,0.0,0.0,0.0,-18.0,0.0,,0.0,-7.4,-277.2,-87.94
2025-12-17,111.2,391.5,-8.4,-37.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,457.3,-41.18
2025-12-18,32.8,-170.3,-11.5,-12.3,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-161.3,-57.94
2025-12-19,-173.6,15.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-158.3,-99.42
2025-12-22,6.0,-3.8,-35.0,-21.4,0.0,0.0,0.0,-33.6,0.0,,-29.0,-25.4,-142.2,-56.34
2025-12-23,-157.3,-15.3,-5.7,0.0,0.0,0.0,0.0,0.0,0.0,,-10.3,0.0,-188.6,-38.62
2025-12-24,-91.4,-17.2,-13.3,-9.9,0.0,-5.1,0.0,-8.0,0.0,,-24.6,-5.8,-175.3,-165.14
2025-12-26,-192.6,-74.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-8.9,0.0,-275.9,-188.06
2025-12-29,-7.9,5.7,0.0,-6.7,-10.4,0.0,0.0,0.0,0.0,,0.0,0.0,-19.3,-160.26
2025-12-30,143.7,78.6,13.9,109.6,0.0,0.0,0.0,5.0,0.0,,0.0,4.3,355.1,-60.8
2025-12-31,-99.0,-66.6,-13.8,-76.5,0.0,-5.1,0.0,-6.8,0.0,,-69.1,-11.2,-348.1,-92.7
2026-01-02,287.4,88.1,41.5,6.7,4.5,13.0,0.0,8.3,0.0,,15.4,6.4,471.3,36.62
2026-01-05,372.5,191.2,38.5,36.0,15.0,13.6,7.2,5.3,0.0,,0.0,17.9,697.2,231.24
2026-01-06,228.7,-312.2,0.0,-29.5,0.0,0.0,0.0,-14.4,0.0,,-83.1,-32.7,-243.2,186.46
2026-01-07,-130.0,-247.6,-39.0,-42.3,0.0,0.0,0.0,-11.6,0.0,,-15.6,0.0,-486.1,18.22
2026-01-08,-193.3,-120.5,3.0,-9.6,0.0,0.0,0.0,0.0,1.9,,-73.1,-7.2,-398.8,8.08
2026-01-09,-252.0,7.9,-5.9,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-250.0,-136.18
2026-01-12,-70.7,111.7,0.0,0.0,0.0,0.0,0.0,6.5,0.0,,64.3,4.9,116.7,-252.28
2026-01-13,126.3,351.4,159.4,84.9,0.0,0.0,0.0,10.0,3.0,,0.0,18.8,753.8,-52.88
2026-01-14,648.4,125.4,10.6,27.0,0.0,5.6,0.0,8.3,0.0,,15.3,0.0,840.6,212.46
2026-01-15,315.8,-188.9,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,-36.4,6.7,100.2,312.26
2026-01-16,15.1,-205.2,-90.4,-69.4,0.0,0.0,0.0,0.0,0.0,,-44.8,0.0,-394.7,283.32
2026-01-20,-56.9,-152.1,-40.4,-46.4,0.0,-10.4,0.0,-12.7,0.0,,-160.8,0.0,-479.7,164.04
2026-01-21,-356.6,-287.7,-25.9,-29.8,0.0,0.0,-3.8,6.4,0.0,,-11.3,0.0,-708.7,-128.46
2026-01-22,-22.4,-9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-32.2,-303.02
2026-01-23,-101.6,-1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-103.5,-343.76
2026-01-26,15.9,-5.7,-11.0,-2.9,0.0,0.0,0.0,0.0,2.8,,0.0,7.7,6.8,-263.46
2026-01-27,-102.8,-44.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-147.4,-197.0
2026-01-28,-14.2,19.5,-12.6,-12.3,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-19.6,-59.18
2026-01-29,-317.8,-168.0,-88.9,-71.6,-8.4,0.0,0.0,-6.5,0.0,,-119.4,-37.2,-817.8,-216.3
2026-01-30,-528.3,7.3,0.0,8.3,0.0,0.0,0.0,3.0,0.0,,0.0,0.0,-509.7,-297.54
2026-02-02,142.0,153.3,96.5,65.1,10.1,0.0,0.0,24.3,3.3,,0.0,67.2,561.8,-186.54
2026-02-03,60.0,-148.7,-23.4,-62.5,0.0,-2.2,0.0,-4.8,0.0,,-56.6,-33.8,-272.0,-211.46
2026-02-04,-373.4,-86.4,0.0,-31.7,0.0,-6.4,0.0,-5.2,0.0,,-41.8,0.0,-544.9,-316.52
2026-02-05,-175.3,-109.5,-15.6,-23.1,0.0,0.0,0.0,0.0,0.0,,-75.4,-35.2,-434.1,-239.78
2026-02-06,231.6,24.5,28.7,43.3,7.0,0.0,0.0,15.9,0.0,,0.0,20.1,371.1,-63.62
2026-02-09,-20.9,3.1,0.0,14.1,0.0,6.1,0.0,12.0,0.0,,0.0,130.5,144.9,-147.0
2026-02-10,26.5,56.9,0.0,68.5,0.0,0.0,4.9,0.0,3.6,,0.0,6.1,166.5,-59.3
2026-02-11,-73.4,-92.6,-22.0,-70.5,0.0,0.0,0.0,-6.7,6.8,,-17.9,0.0,-276.3,-5.58
2026-02-12,-157.6,-104.1,-7.8,-31.5,-6.8,-3.8,-2.8,-3.2,0.0,,-59.1,-33.5,-410.2,-0.8
2026-02-13,-9.4,12.0,0.0,0.0,0.0,0.0,0.0,1.9,3.6,,0.0,7.0,15.1,-72.0
2026-02-17,-119.7,5.9,-10.3,-8.3,0.0,0.0,0.0,0.0,0.0,,-8.5,36.0,-104.9,-121.96
2026-02-18,-84.2,-49.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-133.3,-181.92
2026-02-19,-164.1,0.0,0.0,0.0,0.0,0.0,-1.7,0.0,0.0,,0.0,0.0,-165.8,-159.82
2026-02-20,64.5,23.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,88.1,-60.16
2026-02-23,-116.4,-27.9,-43.6,-9.2,0.0,0.0,0.0,6.4,0.0,,-13.1,0.0,-203.8,-103.94
2026-02-24,78.9,82.8,3.5,71.1,0.0,0.0,0.0,12.8,0.0,,0.0,8.6,257.7,-31.42
2026-02-25,297.4,30.1,39.4,2.3,0.0,0.0,0.0,15.6,0.0,,102.5,19.3,506.6,96.56
2026-02-26,275.8,-51.5,69.0,-44.9,0.0,0.0,0.0,0.0,0.0,,0.0,6.0,254.4,180.6
2026-02-27,-32.7,0.0,0.0,0.0,3.3,1.9,0.0,0.0,0.0,,0.0,0.0,-27.5,157.48
2026-03-02,263.2,94.8,36.4,5.7,6.2,14.0,0.0,19.5,0.0,,0.0,18.4,458.2,289.88
2026-03-03,322.4,-89.3,0.0,0.0,0.0,0.0,11.6,0.0,8.7,,-28.2,0.0,225.2,283.38
2026-03-04,306.6,48.0,8.0,14.6,9.1,8.5,0.0,5.2,7.8,,21.7,32.4,461.9,274.44
2026-03-05,-88.7,-48.0,-46.4,-22.7,0.0,0.0,5.4,-8.6,0.0,,-18.9,0.0,-227.9,177.98
2026-03-06,-143.5,-158.5,-22.2,-4.5,0.0,0.0,0.0,-5.8,0.0,,-9.6,-4.8,-348.9,113.7
2026-03-09,109.3,60.1,-4.5,-2.7,0.0,0.0,0.0,4.9,0.0,,0.0,0.0,167.1,55.48
2026-03-10,185.8,33.5,16.4,4.1,0.0,0.0,-4.1,5.9,0.0,,0.0,5.3,246.9,59.82
2026-03-11,115.3,15.4,0.0,0.0,0.0,0.0,0.0,-4.5,0.0,,-16.0,5.0,115.2,-9.52
2026-03-12,46.1,15.3,-5.7,3.0,0.0,0.0,0.0,0.0,0.0,,-9.9,5.0,53.8,46.82
2026-03-13,143.6,23.2,3.1,2.4,0.0,0.0,0.0,8.1,0.0,,0.0,0.0,180.4,152.68
2026-03-16,139.4,64.5,2.8,-3.1,0.0,2.1,0.0,-6.3,0.0,,0.0,0.0,199.4,159.14
